Default,Rev_gr,EBITDA_gr,Cap_gr,CR,QR,Cash_ratio,WC_cycle,DTA,DTE,LR,EBITDA_debt,IC,CTI,IC_CF,DCR,CFR,CRA,CRE,ROA,ROE,NPM,GPM,OPM,RecT,InvT,PayT,TA,FA,WC
0,1.68,0.78,1.09,5.51,0.85,0.03,97.08,0.23,0.31,1.33,0.47,5.33,-1.21,0.00,-0.63,-0.10,-0.16,-0.20,0.07,0.09,0.04,0.10,0.07,17.89,4.64,186.44,1.57,3.79,3.20
0,1.40,1.34,2.01,2.51,0.27,0.11,166.65,0.30,0.49,1.63,1.31,58.77,-0.73,0.00,-1.00,-0.12,-0.28,-0.65,0.28,0.67,0.13,0.18,0.16,28.16,2.30,71.82,2.22,76.82,4.14
0,0.80,0.23,1.20,0.89,0.67,0.11,35.66,0.31,0.84,2.69,0.29,13.52,1.65,27.57,0.44,0.07,0.17,0.40,0.07,0.18,0.03,0.07,0.04,5.21,37.13,8.25,2.56,7.96,-29.18
0,1.20,1.82,1.59,2.55,0.96,0.01,263.23,0.16,1.22,7.41,0.79,2.75,-0.77,0.00,-0.58,-0.18,-0.10,-0.86,0.06,0.56,0.12,0.68,0.23,2.17,3.85,0.58,0.53,2.92,1.03
0,1.00,1.00,1.00,6.56,4.70,2.72,33.15,0.01,0.08,11.86,19.50,290.50,-2.26,0.00,-32.51,-0.23,-0.24,-5.11,0.10,2.01,0.09,0.33,0.10,7.62,110.08,20.22,1.07,7.23,1.35
0,0.31,0.30,1.91,10.63,0.48,0.09,13.96,0.08,0.08,1.09,1.21,0.00,-2.54,0.00,-3.03,-0.51,-0.30,-0.33,0.10,0.10,0.16,0.24,0.20,22.24,0.61,148.71,0.60,6.08,0.57
0,2.46,5.27,1.15,12.69,2.60,0.39,48.66,0.00,0.00,1.09,1.00,0.00,0.08,0.00,0.00,0.02,0.02,0.03,0.11,0.14,0.10,1.00,0.10,7.50,0.00,0.01,1.16,74.42,1.36
0,5.64,2.46,4.48,1.20,0.54,0.21,44.43,0.00,0.00,5.90,1.00,0.00,1.77,0.00,0.00,0.10,0.26,1.44,0.12,0.66,0.05,0.10,0.06,9.55,6.76,7.64,2.61,1 284.55,8.91
0,4.43,44.77,1.15,4.22,3.07,0.14,54.63,0.01,0.01,1.17,218.00,18.03,0.00,11.82,0.02,0.00,0.00,0.00,0.12,0.14,0.06,0.08,0.07,6.24,18.29,15.34,1.96,3.46,3.83
0,1.44,1.86,1.57,1.93,1.83,0.53,20.45,0.13,0.28,2.27,1.69,35.59,0.21,29.53,0.44,0.01,0.07,0.15,0.22,0.45,0.03,0.07,0.04,9.49,267.43,18.82,6.59,479.77,10.10
0,3.36,-1.00,0.78,1.09,1.04,1.00,357.05,0.00,0.00,3.44,0.00,0.00,-6.50,0.00,0.00,0.43,0.63,1.33,-0.12,-0.24,-0.08,0.97,-0.07,22.87,1.07,0.14,1.46,6.82,16.25
0,2.64,9.10,1.93,1.49,1.24,1.05,-12.65,0.06,0.11,2.04,6.04,39.42,1.71,77.35,10.35,0.21,0.81,1.53,0.43,0.81,0.11,0.15,0.12,38.10,20.29,9.08,3.81,16.74,10.67
0,1.22,0.00,0.98,3.91,0.08,0.06,173.73,0.09,0.11,1.20,-0.19,-1.52,8.46,6.26,-1.63,-0.09,-0.13,-0.18,-0.02,-0.02,-0.01,0.40,-0.01,364.65,1.81,12.51,1.42,4.31,3.15
0,1.00,1.00,1.00,0.95,0.19,0.18,90.76,0.27,3.05,11.18,0.21,464.47,-2.97,-1 199.18,-0.63,-0.68,-0.24,-3.85,0.08,1.31,0.23,0.29,0.23,65.11,4.29,0.74,0.36,1.46,-6.75
