Japanese Name,English Name,
マルハニチロ株式会社,Maruha Nichiro Corporation,
佐藤工業株式会社,Sato Construction Co.,Ltd.
日鉄テックスエンジ株式会社,Nippon Steel Texeng Corporation,
徳倉建設株式会社,Tokura Construction Co.,Ltd.
日本電通株式会社,Nippon Dentsu Co.,Ltd.
ＮＤＳ株式会社,NDS Corporation,
シーキューブ株式会社,C-Cube Corporation,
株式会社ソルコム,Solcom Co.,Ltd.
大鉄工業株式会社,Daitsu Industry Co.,Ltd.
株式会社メルディアＤＣ,Meldia DC Co.,Ltd.
ミサワホーム中国株式会社,Misawa Homes China Co.,Ltd.
ミサワホーム株式会社,Misawa Homes Co.,Ltd.
伊藤ハム株式会社,Itoham Corporation,
米久株式会社,Yonekyu Corporation,
株式会社秋川牧園,Akikawa Farm Co.,Ltd.
東福製粉株式会社,Tofu Flour Milling Co.,Ltd.
鳥越製粉株式会社,Torigoe Flour Milling Co.,Ltd.
株式会社増田製粉所,Masuda Flour Mills Co.,Ltd.
新中糖産業株式会社,Shinchu Sugar Industry Co.,Ltd.
石垣島製糖株式会社,Ishigaki Island Sugar Manufacturing Co.,Ltd.
フジパングループ本社株式会社,Fujipan Group Holdings Co.,Ltd.
ジャパン・フード＆リカー・アライアンス株式会社,Japan Food & Liquor Alliance Co.,Ltd.
モンデ酒造株式会社,Monde Brewing Co.,Ltd.
サントリー株式会社,Suntory Co.,Ltd.
攝津製油株式会社,Settsu Oil Co.,Ltd.
中部飼料株式会社,Chubu Feed Co.,Ltd.
オリエンタル酵母工業株式会社,Oriental Yeast Industry Co.,Ltd.
新内外綿株式会社,Shin Naigaimen Co.,Ltd.
カネヨウ株式会社,Kaneyo Co.,Ltd.
北日本紡績株式会社,North Japan Spinning Co.,Ltd.
株式会社フジコー,Fujiko Co.,Ltd.
大日本木材防腐株式会社,Dainippon Wood Preserving Co.,Ltd.
パナホーム株式会社,PanaHome Corporation,
野崎印刷紙業株式会社,Nozaki Printing Paper Co.,Ltd.
株式会社西日本新聞社,West Japan Newspaper Co.,Ltd.
株式会社神戸新聞社,Kobe Newspaper Co.,Ltd.
株式会社朝日新聞社,Asahi Newspaper Co.,Ltd.
カーディナル株式会社,Cardinal Corporation,
株式会社日本経済新聞社,Nihon Keizai Newspaper Co.,Ltd.
株式会社幻冬舎,Gentosha Inc.,
昭和電工ガスプロダクツ株式会社,Showa Denko Gas Products Co.,Ltd.
第一稀元素化学工業株式会社,Daiichi Rare Elements Chemical Industry Co.,Ltd.
日本合成化学工業株式会社,Nippon Synthetic Chemical Industry Co.,Ltd.
プラス・テク株式会社,Plus Tech Corporation,
マナック株式会社,Manac Corporation,
三菱ケミカル株式会社,Mitsubishi Chemical Corporation,
互応化学工業株式会社,Goo Chemical Industry Co.,Ltd.
ロックペイント株式会社,Rock Paint Co.,Ltd.
田辺三菱製薬株式会社,Tanabe Mitsubishi Pharma Corporation,
森田薬品工業株式会社,Morita Pharmaceutical Industry Co.,Ltd.
大塚製薬株式会社,Otsuka Pharmaceutical Co.,Ltd.
ビオフェルミン製薬株式会社,Biofermin Pharmaceutical Co.,Ltd.
日医工株式会社,Nichi-Iko Pharmaceutical Co.,Ltd.
和光純薬工業株式会社,Wako Pure Chemical Industries,Ltd.
沢井製薬株式会社,Sawai Pharmaceutical Co.,Ltd.
川口化学工業株式会社,Kawaguchi Chemical Industry Co.,Ltd.
株式会社合同資源,Joint Resources Co.,Ltd.
株式会社ナリス化粧品,Naris Cosmetics Co.,Ltd.
日東エフシー株式会社,Nitto FC Co.,Ltd.
ＥＮＥＯＳ株式会社,ENEOS Corporation,
ＪＸ金属株式会社,JX Metals Corporation,
イソライト工業株式会社,Isolite Industry Co.,Ltd.
昭和化学工業株式会社,Showa Chemical Industry Co.,Ltd.
ＪＦＥスチール株式会社,JFE Steel Corporation,
東洋鋼鈑株式会社,Toyo Kohan Co.,Ltd.
日本軽金属株式会社,Nippon Light Metal Co.,Ltd.
東邦亜鉛株式会社,Toho Zinc Co.,Ltd.
東邦金属株式会社,Toho Metal Co.,Ltd.
日本製罐株式会社,Nippon Seikan Co.,Ltd.
株式会社研創,Kensou Co.,Ltd.
株式会社富士テクニカ宮津,Fuji Technica & Miyazu Co.,Ltd.
ミヤコ株式会社,Miyako Co.,Ltd.
株式会社サッパボイラ,Sappa Boiler Co.,Ltd.
