Expediente,Mercado,FechaResolucion,Decision,Rubro,Efecto
DE-025-2023,,2023-11-24,No presentada,DE,
DE-022-2023,,2023-09-27,No presentada,DE,
IO-001-2021,"INTEGRACIÓN, INSTALACIÓN, MANTENIMIENTO Y COMERCIALIZACIÓN DE EQUIPOS, ACCESORIOS Y REFACCIONES PARA EL APROVECHAMIENTO DE GASES INDUSTRIALES EN TERRITORIO NACIONAL",2023-11-09,Sanción,IO,
DE-017-2023,,2023-08-25,No presentada,DE,
DE-044-2018,"IMPORTACIÓN, COMERCIALIZACIÓN, TRANSPORTE, ALMACENAMIENTO, DISTRIBUCIÓN Y EXPENDIO AL PÚBLICO DE GAS LICUADO DE PETRÓLEO EN TERRITORIO NACIONAL, BIENES Y SERVICIOS RELACIONADOS CON LOS MISMOS",2023-08-22,Cierre,DE,
DE-019-2023,,2023-02-08,Desechamiento,DE,
DE-018-2023,,2023-07-14,Desechamiento,DE,
IEBC-005-2018,MERCADO RELEVANTE DE TARJETAS DE DÉBITO (MRTDD): EL SERVICIO DE TRANSACCIONES DOMÉSTICAS CON TARJETAS DE DÉBITO PARA COMPRA Y VENTA DE BIENES Y SERVICIOS.,2023-07-13,RECOMENDACIONES A AUTORIDADES,IEBC,
DE-012-2023,,2023-07-07,No presentada,DE,
DE-016-2023,,2023-05-07,Desechamiento,DE,
DE-006-2023,,2023-06-22,Desechamiento,DE,
DE-013-2023,,2023-05-29,Desechamiento,DE,
DE-032-2019,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE TORTILLAS DE MAÍZ EN EL MUNICIPIO DE HUIXTLA, CHIAPAS.",2023-05-25,Sanción,DE,
DE-005-2023,,2023-05-18,No presentada,DE,
DE-007-2023,,2023-05-17,No presentada,DE,
DE-009-2023,,2023-04-26,Desechamiento,DE,
DE-011-2023,,2023-04-26,Desechamiento,DE,
DE-003-2023,,2023-04-24,No presentada,DE,
DE-004-2023,,2023-03-17,Desechamiento,DE,
IEBC-002-2019,,2023-06-03,RECOMENDACIONES A AUTORIDADES;ÓRDENES PARA ELIMINAR BARRERAS,IEBC,
CNT-045-2023,,2023-12-14,AUTORIZADA,CNT,VERTICAL
CNT-090-2023,,2023-12-14,AUTORIZADA,CNT,HORIZONTAL
CNT-125-2023,,2023-12-14,AUTORIZADA,CNT,VERTICAL
CNT-129-2023,,2023-12-14,AUTORIZADA,CNT,HORIZONTAL
CNT-104-2023,,2023-11-12,AUTORIZADA,CNT,VERTICAL
CNT-115-2023,,2023-11-12,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-106-2023,,2023-11-30,AUTORIZADA,CNT,HORIZONTAL
CNT-122-2023,,2023-11-30,AUTORIZADA,CNT,HORIZONTAL
CNT-092-2023,,2023-11-23,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-093-2023,,2023-11-23,AUTORIZADA,CNT,VERTICAL
CNT-095-2023,,2023-11-23,AUTORIZADA,CNT,HORIZONTAL
CNT-096-2023,,2023-11-23,AUTORIZADA,CNT,HORIZONTAL
CNT-109-2023,,2023-11-23,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-111-2023,,2023-11-23,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-114-2023,,2023-11-23,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-117-2023,,2023-11-23,AUTORIZADA,CNT,DIVERSIFICACION POR EXTENSIÓN DE MERCADO
CNT-066-2023,,2023-11-14,AUTORIZADA,CNT,HORIZONTAL
CNT-091-2023,,2023-11-14,AUTORIZADA,CNT,REESTRUCTURACIÓN CORPORATIVA
CNT-088-2023,,2023-09-11,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-103-2023,,2023-09-11,AUTORIZADA,CNT,DIVERSIFICACION POR EXTENSIÓN DE MERCADO
CNT-105-2023,,2023-09-11,AUTORIZADA,CNT,HORIZONTAL
CNT-107-2023,,2023-09-11,AUTORIZADA,CNT,DIVERSIFICACION POR LINEA DE PRODUCTO
CNT-110-2023,,2023-09-11,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-076-2023,,2023-06-11,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-089-2023,,2023-06-11,AUTORIZADA,CNT,HORIZONTAL
CNT-097-2023,,2023-06-11,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-112-2023,,2023-06-11,AUTORIZADA,CNT,REESTRUCTURACIÓN CORPORATIVA
CNT-084-2023,,2023-10-26,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-075-2023,,2023-10-25,AUTORIZADA,CNT,HORIZONTAL
CNT-077-2023,,2023-10-25,AUTORIZADA,CNT,HORIZONTAL
CNT-080-2023,,2023-10-25,AUTORIZADA,CNT,HORIZONTAL
CNT-085-2023,,2023-10-25,AUTORIZADA,CNT,VERTICAL
CNT-086-2023,,2023-10-25,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-099-2023,,2023-10-25,AUTORIZADA,CNT,HORIZONTAL
CNT-107-2022,,2023-10-13,NO AUTORIZADA,CNT,HORIZONTAL
